INFO 2026-04-21 12:56:50,288 autoreload 31916 32168 Watching for file changes with StatReloader
INFO 2026-04-21 12:57:10,224 autoreload 31916 32168 C:\Users\CRISTIAN MANUEL\.gemini\antigravity\scratch\hospital_system\backend\infrastructure\repositories.py changed, reloading.
INFO 2026-04-21 12:57:10,678 autoreload 22576 17124 Watching for file changes with StatReloader
INFO 2026-04-21 12:57:25,624 autoreload 22576 17124 C:\Users\CRISTIAN MANUEL\.gemini\antigravity\scratch\hospital_system\backend\infrastructure\repositories.py changed, reloading.
INFO 2026-04-21 12:57:26,115 autoreload 28208 28816 Watching for file changes with StatReloader
INFO 2026-04-21 12:57:36,319 autoreload 4728 22552 Watching for file changes with StatReloader
INFO 2026-04-21 12:57:55,434 autoreload 10232 21604 Watching for file changes with StatReloader
INFO 2026-04-21 12:58:23,657 autoreload 7956 24996 Watching for file changes with StatReloader
INFO 2026-04-21 12:59:11,024 autoreload 31936 9804 Watching for file changes with StatReloader
WARNING 2026-04-21 13:00:16,492 log 7956 33400 Not Found: /
WARNING 2026-04-21 13:00:16,492 basehttp 7956 33400 "GET / HTTP/1.1" 404 179
WARNING 2026-04-21 13:00:16,536 log 7956 33400 Not Found: /favicon.ico
WARNING 2026-04-21 13:00:16,536 basehttp 7956 33400 "GET /favicon.ico HTTP/1.1" 404 179
WARNING 2026-04-21 13:00:24,626 log 7956 33400 Not Found: /
WARNING 2026-04-21 13:00:24,627 basehttp 7956 33400 "GET / HTTP/1.1" 404 179
INFO 2026-04-21 13:30:28,947 autoreload 28652 28656 Watching for file changes with StatReloader
INFO 2026-04-21 13:32:40,165 basehttp 28652 27468 "GET /api/auth/login HTTP/1.1" 301 0
WARNING 2026-04-21 13:32:40,181 exceptions 28652 27516 Request Error: LoginView - 405 - Método "GET" no permitido.
WARNING 2026-04-21 13:32:40,317 log 28652 27516 Method Not Allowed: /api/auth/login/
WARNING 2026-04-21 13:32:40,317 basehttp 28652 27516 "GET /api/auth/login/ HTTP/1.1" 405 5562
WARNING 2026-04-21 13:32:40,342 log 28652 27516 Not Found: /static/rest_framework/css/bootstrap.min.css
WARNING 2026-04-21 13:32:40,343 basehttp 28652 27516 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:32:40,346 log 28652 27516 Not Found: /static/rest_framework/css/bootstrap-tweaks.css
WARNING 2026-04-21 13:32:40,346 basehttp 28652 27516 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:32:40,349 log 28652 27516 Not Found: /static/rest_framework/css/prettify.css
WARNING 2026-04-21 13:32:40,349 basehttp 28652 27516 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:32:40,352 log 28652 27516 Not Found: /static/rest_framework/css/default.css
WARNING 2026-04-21 13:32:40,352 basehttp 28652 27516 "GET /static/rest_framework/css/default.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:32:40,355 log 28652 27516 Not Found: /static/rest_framework/js/jquery-3.7.1.min.js
WARNING 2026-04-21 13:32:40,355 basehttp 28652 27516 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:32:40,358 log 28652 27516 Not Found: /static/rest_framework/js/ajax-form.js
WARNING 2026-04-21 13:32:40,359 basehttp 28652 27516 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:32:40,361 log 28652 27516 Not Found: /static/rest_framework/js/csrf.js
WARNING 2026-04-21 13:32:40,362 basehttp 28652 27516 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:32:40,365 log 28652 27516 Not Found: /static/rest_framework/js/bootstrap.min.js
WARNING 2026-04-21 13:32:40,365 basehttp 28652 27516 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:32:40,368 log 28652 27516 Not Found: /static/rest_framework/js/prettify-min.js
WARNING 2026-04-21 13:32:40,368 basehttp 28652 27516 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:32:40,370 log 28652 27516 Not Found: /static/rest_framework/js/default.js
WARNING 2026-04-21 13:32:40,371 basehttp 28652 27516 "GET /static/rest_framework/js/default.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:32:40,373 log 28652 27516 Not Found: /static/rest_framework/js/load-ajax-form.js
WARNING 2026-04-21 13:32:40,374 basehttp 28652 27516 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:32:40,429 log 28652 27516 Not Found: /favicon.ico
WARNING 2026-04-21 13:32:40,429 basehttp 28652 27516 "GET /favicon.ico HTTP/1.1" 404 179
INFO 2026-04-21 13:34:08,385 basehttp 28652 22264 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
WARNING 2026-04-21 13:34:08,388 log 28652 22264 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:34:08,388 basehttp 28652 22264 "POST /api/auth/login/ HTTP/1.1" 400 85
